nutrient,accuracy,macro_f1,weighted_f1,duration_sec,colsample_bytree,learning_rate,max_depth,n_estimators,rate_drop,skip_drop,subsample
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,315.6845772266388,0.8,0.05,6,350,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,316.0492446422577,0.8,0.05,6,350,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,62.80317544937134,0.8,0.1,4,150,0.1,0.5,0.7
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,63.741209983825684,0.8,0.1,4,150,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,63.0855176448822,0.8,0.1,4,150,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,60.17379903793335,0.8,0.1,4,150,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,60.55158042907715,0.8,0.1,4,150,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,60.03755807876587,0.8,0.1,4,150,0.2,0.5,0.9
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,168.95501494407654,0.8,0.1,4,250,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,167.79380679130554,0.8,0.1,4,250,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,168.29458284378052,0.8,0.1,4,250,0.1,0.5,0.9
P,0.6862745098039216,0.6829686829686828,0.6839276251040957,160.18586373329163,0.8,0.1,4,250,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,160.5465054512024,0.8,0.1,4,250,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,160.40609884262085,0.8,0.1,4,250,0.2,0.5,0.9
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,327.9359378814697,0.8,0.1,4,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,327.11337184906006,0.8,0.1,4,350,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,328.1738340854645,0.8,0.1,4,350,0.1,0.5,0.9
P,0.6666666666666666,0.6618507051943584,0.6615674133430463,313.74817728996277,0.8,0.1,4,350,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,311.9043619632721,0.8,0.1,4,350,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,313.41415667533875,0.8,0.1,4,350,0.2,0.5,0.9
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,62.477684020996094,0.8,0.1,6,150,0.1,0.5,0.7
P,0.6666666666666666,0.6666666666666666,0.6666666666666666,63.56085395812988,0.8,0.1,6,150,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,63.209644079208374,0.8,0.1,6,150,0.1,0.5,0.9
P,0.6862745098039216,0.6862945895203959,0.6849191289418993,59.760008335113525,0.8,0.1,6,150,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,60.19547724723816,0.8,0.1,6,150,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,59.94942378997803,0.8,0.1,6,150,0.2,0.5,0.9
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,168.81875467300415,0.8,0.1,6,250,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,169.62300944328308,0.8,0.1,6,250,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,169.99062609672546,0.8,0.1,6,250,0.1,0.5,0.9
P,0.6862745098039216,0.6829686829686828,0.6839276251040957,161.28644037246704,0.8,0.1,6,250,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,160.6411714553833,0.8,0.1,6,250,0.2,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,161.16358399391174,0.8,0.1,6,250,0.2,0.5,0.9
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,328.6575436592102,0.8,0.1,6,350,0.1,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,329.7570831775665,0.8,0.1,6,350,0.1,0.5,0.8
P,0.6666666666666666,0.6652819802724926,0.6626704838558841,329.4119334220886,0.8,0.1,6,350,0.1,0.5,0.9
P,0.6666666666666666,0.6618507051943584,0.6615674133430463,311.7843990325928,0.8,0.1,6,350,0.2,0.5,0.7
P,0.6470588235294118,0.6459030459030459,0.6446816564463623,313.6356248855591,0.8,0.1,6,350,0.2,0.5,0.8
